case_id,impl,batch_id,sample_index,time_s
usgs_earthquakes,rust,7,22,0.000012312
usgs_earthquakes,rust,7,23,0.000012253
usgs_earthquakes,rust,7,24,0.000012464
usgs_earthquakes,rust,7,25,0.000012012
usgs_earthquakes,rust,7,26,0.000012103
usgs_earthquakes,rust,7,27,0.000012213
usgs_earthquakes,rust,7,28,0.000012423
usgs_earthquakes,rust,7,29,0.000012313
usgs_earthquakes,rust,7,30,0.000012042
usgs_earthquakes,rust,7,31,0.000012434
usgs_earthquakes,rust,7,32,0.000012072
usgs_earthquakes,rust,7,33,0.000012062
usgs_earthquakes,rust,7,34,0.000012222
usgs_earthquakes,rust,7,35,0.000011932
usgs_earthquakes,rust,7,36,0.000011932
usgs_earthquakes,rust,7,37,0.000012052
usgs_earthquakes,rust,7,38,0.000012192
usgs_earthquakes,rust,7,39,0.000025928
usgs_earthquakes,rust,7,40,0.000012203
cern_dimuon,cpp,8,0,0.000762741
cern_dimuon,cpp,8,1,0.000758864
cern_dimuon,cpp,8,2,0.000748584
cern_dimuon,cpp,8,3,0.000760918
cern_dimuon,cpp,8,4,0.000764294
cern_dimuon,cpp,8,5,0.000763392
cern_dimuon,cpp,8,6,0.000747383
cern_dimuon,cpp,8,7,0.000767039
cern_dimuon,cpp,8,8,0.000761990
cern_dimuon,cpp,8,9,0.000760566
cern_dimuon,cpp,8,10,0.000760657
cern_dimuon,cpp,8,11,0.000748444
cern_dimuon,cpp,8,12,0.000768191
cern_dimuon,cpp,8,13,0.000761409
cern_dimuon,cpp,8,14,0.000758163
cern_dimuon,cpp,8,15,0.000745569
cern_dimuon,cpp,8,16,0.000760186
cern_dimuon,cpp,8,17,0.000763072
cern_dimuon,cpp,8,18,0.000760637
cern_dimuon,cpp,8,19,0.000749877
cern_dimuon,cpp,8,20,0.000758543
cern_dimuon,cpp,8,21,0.000758994
cern_dimuon,cpp,8,22,0.000760607
cern_dimuon,cpp,8,23,0.000749075
cern_dimuon,cpp,8,24,0.000759746
cern_dimuon,cpp,8,25,0.000760927
cern_dimuon,cpp,8,26,0.000759736
cern_dimuon,cpp,8,27,0.000744427
cern_dimuon,cpp,8,28,0.000758633
cern_dimuon,cpp,8,29,0.000758203
cern_dimuon,cpp,8,30,0.000760056
cern_dimuon,cpp,8,31,0.000744407
cern_dimuon,cpp,8,32,0.000761348
cern_dimuon,cpp,8,33,0.000759025
cern_dimuon,cpp,8,34,0.000758102
cern_dimuon,cpp,8,35,0.000748254
cern_dimuon,cpp,8,36,0.000760116
cern_dimuon,cpp,8,37,0.000758153
cern_dimuon,cpp,8,38,0.000758643
cern_dimuon,cpp,8,39,0.000745039
cern_dimuon,cpp,8,40,0.000759495
cern_dimuon,cpp,0,0,0.000761479
cern_dimuon,cpp,0,1,0.000760296
cern_dimuon,cpp,0,2,0.000759445
cern_dimuon,cpp,0,3,0.000747012
cern_dimuon,cpp,0,4,0.000760237
cern_dimuon,cpp,0,5,0.000758703
cern_dimuon,cpp,0,6,0.000761749
cern_dimuon,cpp,0,7,0.000745910
cern_dimuon,cpp,0,8,0.000760667
cern_dimuon,cpp,0,9,0.000765346
cern_dimuon,cpp,0,10,0.000759735
cern_dimuon,cpp,0,11,0.000746751
cern_dimuon,cpp,0,12,0.000762250
cern_dimuon,cpp,0,13,0.000759926
cern_dimuon,cpp,0,14,0.000759155
cern_dimuon,cpp,0,15,0.000761109
cern_dimuon,cpp,0,16,0.000748243
cern_dimuon,cpp,0,17,0.000761118
cern_dimuon,cpp,0,18,0.000759745
cern_dimuon,cpp,0,19,0.000764014
cern_dimuon,cpp,0,20,0.000746510
cern_dimuon,cpp,0,21,0.000758643
cern_dimuon,cpp,0,22,0.000766618
cern_dimuon,cpp,0,23,0.000758774
cern_dimuon,cpp,0,24,0.000747262
cern_dimuon,cpp,0,25,0.000760066
cern_dimuon,cpp,0,26,0.000759826
cern_dimuon,cpp,0,27,0.000759756
cern_dimuon,cpp,0,28,0.000746640
cern_dimuon,cpp,0,29,0.000758553
cern_dimuon,cpp,0,30,0.000759866
cern_dimuon,cpp,0,31,0.000757321
cern_dimuon,cpp,0,32,0.000749666
cern_dimuon,cpp,0,33,0.000759736
cern_dimuon,cpp,0,34,0.000759485
cern_dimuon,cpp,0,35,0.000761148
cern_dimuon,cpp,0,36,0.000745870
cern_dimuon,cpp,0,37,0.000761238
cern_dimuon,cpp,0,38,0.000761108
cern_dimuon,cpp,0,39,0.000758844
cern_dimuon,cpp,0,40,0.000745980
usgs_earthquakes,rust,4,0,0.000012723
usgs_earthquakes,rust,4,1,0.000012343
usgs_earthquakes,rust,4,2,0.000012213
usgs_earthquakes,rust,4,3,0.000012073
usgs_earthquakes,rust,4,4,0.000012343
usgs_earthquakes,rust,4,5,0.000012103
usgs_earthquakes,rust,4,6,0.000012293
usgs_earthquakes,rust,4,7,0.000012252
usgs_earthquakes,rust,4,8,0.000012043
usgs_earthquakes,rust,4,9,0.000012373
usgs_earthquakes,rust,4,10,0.000012243
usgs_earthquakes,rust,4,11,0.000012113
usgs_earthquakes,rust,4,12,0.000012072
